
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
----------------------------------------------------------------------------------------
   0.000 | 0  |    0.875   -0.059   -0.524 |  -174.5   -58.6   -28.5
   0.000 | 1  |         Comm Error         |            -           
   0.000 | 2  |    0.145    0.220    0.971 |    12.6    -7.5  -103.0
   0.000 | 3  |         Comm Error         |            -           
   0.000 | 4  |         Comm Error         |            -           
   0.000 | 5  |    0.965   -0.052    0.270 |   -10.8   -73.0   -20.3
   0.039 | 0  |    0.876   -0.054   -0.521 |  -174.3   -58.7   -28.6
   0.039 | 1  |         Comm Error         |            -           
   0.039 | 2  |    0.130    0.220    0.966 |    12.6    -7.5  -103.0
   0.039 | 3  |         Comm Error         |            -           
   0.039 | 4  |         Comm Error         |            -           
   0.039 | 5  |    0.964   -0.050    0.276 |   -10.8   -73.1   -20.4
   0.077 | 0  |    0.870   -0.054   -0.518 |  -174.2   -58.7   -28.7
   0.077 | 1  |         Comm Error         |            -           
   0.077 | 2  |    0.147    0.224    0.966 |    12.7    -7.7  -103.0
   0.077 | 3  |         Comm Error         |            -           
   0.077 | 4  |         Comm Error         |            -           
   0.077 | 5  |    0.960   -0.052    0.267 |   -10.8   -73.1   -20.4
   0.115 | 0  |    0.874   -0.050   -0.519 |  -174.3   -58.8   -28.7
   0.115 | 1  |         Comm Error         |            -           
   0.115 | 2  |    0.145    0.221    0.959 |    12.7    -7.8  -102.9
   0.115 | 3  |         Comm Error         |            -           
   0.115 | 4  |         Comm Error         |            -           
   0.115 | 5  |    0.966   -0.053    0.278 |   -10.7   -73.1   -20.4
   0.153 | 0  |    0.875   -0.052   -0.520 |  -174.2   -58.8   -28.7
   0.153 | 1  |         Comm Error         |            -           
   0.153 | 2  |    0.137    0.216    0.963 |    12.7    -7.8  -102.9
   0.153 | 3  |         Comm Error         |            -           
   0.153 | 4  |         Comm Error         |            -           
   0.153 | 5  |    0.967   -0.050    0.273 |   -10.6   -73.1   -20.5
   0.190 | 0  |    0.876   -0.059   -0.524 |  -174.1   -58.7   -28.8
   0.190 | 1  |         Comm Error         |            -           
   0.190 | 2  |    0.143    0.219    0.971 |    12.6    -7.8  -102.9
   0.190 | 3  |         Comm Error         |            -           
   0.190 | 4  |         Comm Error         |            -           
   0.190 | 5  |    0.962   -0.048    0.275 |   -10.4   -73.1   -20.6
   0.229 | 0  |    0.877   -0.059   -0.530 |  -174.0   -58.7   -28.9
   0.229 | 1  |         Comm Error         |            -           
   0.229 | 2  |    0.135    0.218    0.978 |    12.6    -7.8  -102.9
   0.229 | 3  |         Comm Error         |            -           
   0.229 | 4  |         Comm Error         |            -           
   0.229 | 5  |    0.965   -0.050    0.272 |   -10.4   -73.1   -20.6
   0.268 | 0  |    0.878   -0.057   -0.534 |  -174.0   -58.6   -28.9
   0.268 | 1  |         Comm Error         |            -           
   0.268 | 2  |    0.131    0.223    0.986 |    12.5    -7.7  -102.9
   0.268 | 3  |         Comm Error         |            -           
   0.268 | 4  |         Comm Error         |            -           
   0.268 | 5  |    0.970   -0.050    0.274 |   -10.3   -73.1   -20.7
   0.305 | 0  |    0.882   -0.052   -0.536 |  -174.1   -58.4   -28.8
   0.305 | 1  |         Comm Error         |            -           
   0.305 | 2  |    0.128    0.215    0.991 |    12.5    -7.5  -102.9
   0.305 | 3  |         Comm Error         |            -           
   0.305 | 4  |         Comm Error         |            -           
   0.305 | 5  |    0.967   -0.056    0.269 |   -10.4   -73.1   -20.6
   0.343 | 0  |    0.870   -0.049   -0.534 |  -174.3   -58.4   -28.6
   0.343 | 1  |         Comm Error         |            -           
   0.343 | 2  |    0.127    0.219    0.980 |    12.5    -7.4  -102.9
   0.343 | 3  |         Comm Error         |            -           
   0.343 | 4  |         Comm Error         |            -           
   0.343 | 5  |    0.963   -0.051    0.277 |   -10.5   -73.1   -20.5
   0.381 | 0  |    0.875   -0.045   -0.535 |  -174.5   -58.3   -28.5
   0.381 | 1  |         Comm Error         |            -           
   0.381 | 2  |    0.132    0.217    0.975 |    12.5    -7.5  -102.9
   0.381 | 3  |         Comm Error         |            -           
   0.381 | 4  |         Comm Error         |            -           
   0.381 | 5  |    0.965   -0.047    0.268 |   -10.5   -73.2   -20.5
   0.418 | 0  |    0.868   -0.040   -0.539 |  -174.7   -58.2   -28.3
   0.418 | 1  |         Comm Error         |            -           
   0.418 | 2  |    0.122    0.217    0.978 |    12.5    -7.3  -102.9
   0.418 | 3  |         Comm Error         |            -           
   0.418 | 4  |         Comm Error         |            -           
   0.418 | 5  |    0.965   -0.053    0.268 |   -10.7   -73.3   -20.3
   0.458 | 0  |    0.865   -0.040   -0.538 |  -174.9   -58.0   -28.1
   0.458 | 1  |         Comm Error         |            -           
   0.458 | 2  |    0.129    0.214    0.973 |    12.5    -7.3  -102.8
   0.458 | 3  |         Comm Error         |            -           
   0.458 | 4  |         Comm Error         |            -           
   0.458 | 5  |    0.967   -0.051    0.271 |   -10.9   -73.3   -20.1
   0.496 | 0  |    0.864   -0.042   -0.538 |  -174.9   -58.0   -28.1
   0.496 | 1  |         Comm Error         |            -           
   0.496 | 2  |    0.132    0.217    0.979 |    12.5    -7.3  -102.8
   0.496 | 3  |         Comm Error         |            -           
   0.496 | 4  |         Comm Error         |            -           
   0.496 | 5  |    0.967   -0.051    0.269 |   -10.9   -73.3   -20.0
   0.534 | 0  |    0.868   -0.048   -0.542 |  -174.8   -57.9   -28.2
   0.534 | 1  |         Comm Error         |            -           
   0.534 | 2  |    0.114    0.219    0.982 |    12.6    -7.1  -102.8
   0.534 | 3  |         Comm Error         |            -           
   0.534 | 4  |         Comm Error         |            -           
   0.534 | 5  |    0.969   -0.051    0.272 |   -10.9   -73.3   -20.0
   0.572 | 0  |    0.864   -0.051   -0.548 |  -174.7   -57.7   -28.4
   0.572 | 1  |         Comm Error         |            -           
   0.572 | 2  |    0.130    0.222    0.980 |    12.6    -7.1  -102.8
   0.572 | 3  |         Comm Error         |            -           
   0.572 | 4  |         Comm Error         |            -           
   0.572 | 5  |    0.969   -0.050    0.271 |   -10.9   -73.3   -19.9
   0.610 | 0  |    0.871   -0.053   -0.548 |  -174.5   -57.7   -28.6
   0.610 | 1  |         Comm Error         |            -           
   0.610 | 2  |    0.109    0.222    0.982 |    12.7    -6.9  -102.8
   0.610 | 3  |         Comm Error         |            -           
   0.610 | 4  |         Comm Error         |            -           
   0.610 | 5  |    0.966   -0.054    0.274 |   -11.0   -73.3   -19.9
   0.648 | 0  |    0.875   -0.056   -0.550 |  -174.3   -57.7   -28.7
   0.648 | 1  |         Comm Error         |            -           
   0.648 | 2  |    0.120    0.223    0.979 |    12.8    -6.8  -102.8
   0.648 | 3  |         Comm Error         |            -           
   0.648 | 4  |         Comm Error         |            -           
   0.648 | 5  |    0.967   -0.055    0.269 |   -11.2   -73.3   -19.8
   0.686 | 0  |    0.872   -0.061   -0.547 |  -174.1   -57.7   -29.0
