
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
----------------------------------------------------------------------------------------
   0.000 | 0  |    0.713   -0.073   -0.716 |  -173.3   -44.0  -161.4
   0.000 | 1  |         Comm Error         |            -           
   0.000 | 2  |    0.207   -0.990   -0.112 |   -95.2   -11.7   -59.0
   0.000 | 3  |         Comm Error         |            -           
   0.000 | 4  |         Comm Error         |            -           
   0.000 | 5  |    0.975   -0.104    0.207 |   -26.6   -75.5    55.7
   0.038 | 0  |    0.683   -0.063   -0.707 |  -173.9   -44.1  -161.0
   0.038 | 1  |         Comm Error         |            -           
   0.038 | 2  |    0.136   -0.980   -0.093 |   -95.3   -11.4   -59.4
   0.038 | 3  |         Comm Error         |            -           
   0.038 | 4  |         Comm Error         |            -           
   0.038 | 5  |    0.984   -0.069    0.235 |   -23.7   -75.4    52.9
   0.078 | 0  |    0.675   -0.053   -0.720 |  -174.5   -44.0  -160.5
   0.078 | 1  |         Comm Error         |            -           
   0.078 | 2  |    0.157   -0.973   -0.089 |   -95.4   -11.1   -59.2
   0.078 | 3  |         Comm Error         |            -           
   0.078 | 4  |         Comm Error         |            -           
   0.078 | 5  |    0.983   -0.079    0.226 |   -22.0   -75.4    51.2
   0.116 | 0  |    0.715   -0.038   -0.739 |  -175.0   -44.1  -160.2
   0.116 | 1  |         Comm Error         |            -           
   0.116 | 2  |    0.209   -0.976   -0.108 |   -95.6   -11.3   -58.6
   0.116 | 3  |         Comm Error         |            -           
   0.116 | 4  |         Comm Error         |            -           
   0.116 | 5  |    0.976   -0.087    0.199 |   -21.1   -75.5    50.4
   0.154 | 0  |    0.752   -0.030   -0.738 |  -175.6   -44.4  -159.7
   0.154 | 1  |         Comm Error         |            -           
   0.154 | 2  |    0.225   -0.980   -0.120 |   -95.8   -11.6   -58.3
   0.154 | 3  |         Comm Error         |            -           
   0.154 | 4  |         Comm Error         |            -           
   0.154 | 5  |    0.971   -0.095    0.208 |   -21.0   -75.6    50.3
