nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
----------------------------------------------------------------------------------------
   0.000 | 0  |    0.710   -0.057   -0.733 |  -175.3   -43.6  -177.7
   0.000 | 1  |         Comm Error         |            -           
   0.000 | 2  |    0.298   -0.945   -0.085 |   -94.5   -16.9   -34.3
   0.000 | 3  |         Comm Error         |            -           
   0.000 | 4  |         Comm Error         |            -           
   0.000 | 5  |    0.982   -0.034    0.205 |    -8.6   -76.7    53.4
   0.038 | 0  |    0.707   -0.060   -0.732 |  -175.2   -43.7  -177.8
   0.038 | 1  |         Comm Error         |            -           
   0.038 | 2  |    0.292   -0.945   -0.083 |   -94.5   -16.9   -34.3
   0.038 | 3  |         Comm Error         |            -           
   0.038 | 4  |         Comm Error         |            -           
   0.038 | 5  |    0.982   -0.028    0.219 |    -8.4   -76.7    53.2
   0.078 | 0  |    0.711   -0.067   -0.733 |  -175.1   -43.8  -177.9
   0.078 | 1  |         Comm Error         |            -           
   0.078 | 2  |    0.294   -0.947   -0.086 |   -94.6   -17.0   -34.4
   0.078 | 3  |         Comm Error         |            -           
   0.078 | 4  |         Comm Error         |            -           
   0.078 | 5  |    0.978   -0.034    0.206 |    -8.5   -76.7    53.2
   0.117 | 0  |    0.709   -0.067   -0.729 |  -175.0   -43.9  -178.1
   0.117 | 1  |         Comm Error         |            -           
   0.117 | 2  |    0.293   -0.946   -0.083 |   -94.6   -17.0   -34.4
   0.117 | 3  |         Comm Error         |            -           
   0.117 | 4  |         Comm Error         |            -           
   0.117 | 5  |    0.983   -0.033    0.212 |    -8.5   -76.8    53.3
   0.155 | 0  |    0.709   -0.066   -0.730 |  -175.0   -44.0  -178.1
   0.155 | 1  |         Comm Error         |            -           
   0.155 | 2  |    0.291   -0.948   -0.080 |   -94.6   -17.0   -34.5
   0.155 | 3  |         Comm Error         |            -           
   0.155 | 4  |         Comm Error         |            -           
   0.155 | 5  |    0.983   -0.031    0.214 |    -8.5   -76.8    53.2
   0.194 | 0  |    0.713   -0.062   -0.732 |  -175.0   -44.0  -178.1
   0.194 | 1  |         Comm Error         |            -           
   0.194 | 2  |    0.287   -0.948   -0.075 |   -94.5   -17.0   -34.5
   0.194 | 3  |         Comm Error         |            -           
   0.194 | 4  |         Comm Error         |            -           
   0.194 | 5  |    0.980   -0.036    0.206 |    -8.6   -76.8    53.3
   0.232 | 0  |    0.713   -0.061   -0.731 |  -175.1   -44.1  -178.1
   0.232 | 1  |         Comm Error         |            -           
   0.232 | 2  |    0.293   -0.946   -0.077 |   -94.5   -17.0   -34.5
   0.232 | 3  |         Comm Error         |            -           
   0.232 | 4  |         Comm Error         |            -           
   0.232 | 5  |    0.981   -0.035    0.211 |    -8.7   -76.8    53.4
   0.270 | 0  |    0.716   -0.062   -0.729 |  -175.1   -44.1  -178.2
   0.270 | 1  |         Comm Error         |            -           
   0.270 | 2  |    0.293   -0.948   -0.082 |   -94.4   -17.0   -34.6
   0.270 | 3  |         Comm Error         |            -           
   0.270 | 4  |         Comm Error         |            -           
   0.270 | 5  |    0.983   -0.032    0.212 |    -8.7   -76.7    53.3
   0.309 | 0  |    0.712   -0.065   -0.728 |  -175.1   -44.2  -178.3
   0.309 | 1  |         Comm Error         |            -           
   0.309 | 2  |    0.296   -0.944   -0.083 |   -94.5   -17.1   -34.6
   0.309 | 3  |         Comm Error         |            -           
   0.309 | 4  |         Comm Error         |            -           
   0.309 | 5  |    0.981   -0.032    0.211 |    -8.6   -76.7    53.3
   0.347 | 0  |    0.717   -0.068   -0.725 |  -175.0   -44.3  -178.4
   0.347 | 1  |         Comm Error         |            -           
   0.347 | 2  |    0.301   -0.944   -0.085 |   -94.5   -17.1   -34.6
   0.347 | 3  |         Comm Error         |            -           
   0.347 | 4  |         Comm Error         |            -           
   0.347 | 5  |    0.980   -0.035    0.207 |    -8.7   -76.7    53.3
   0.386 | 0  |    0.719   -0.066   -0.722 |  -175.0   -44.4  -178.5
   0.386 | 1  |         Comm Error         |            -           
   0.386 | 2  |    0.315   -0.942   -0.088 |   -94.6   -17.4   -34.7
   0.386 | 3  |         Comm Error         |            -           
   0.386 | 4  |         Comm Error         |            -           
   0.386 | 5  |    0.980   -0.035    0.208 |    -8.9   -76.8    53.4
   0.424 | 0  |    0.715   -0.064   -0.720 |  -175.0   -44.5  -178.5
   0.424 | 1  |         Comm Error         |            -           
   0.424 | 2  |    0.337   -0.939   -0.084 |   -94.6   -17.8   -34.7
   0.424 | 3  |         Comm Error         |            -           
   0.424 | 4  |         Comm Error         |            -           
   0.424 | 5  |    0.981   -0.034    0.211 |    -8.9   -76.7    53.4
   0.462 | 0  |    0.716   -0.065   -0.720 |  -175.0   -44.5  -178.5
   0.462 | 1  |         Comm Error         |            -           
   0.462 | 2  |    0.353   -0.948   -0.083 |   -94.7   -18.6   -34.9
   0.462 | 3  |         Comm Error         |            -           
   0.462 | 4  |         Comm Error         |            -           
   0.462 | 5  |    0.981   -0.037    0.206 |    -9.0   -76.8    53.6
   0.500 | 0  |    0.719   -0.065   -0.719 |  -175.1   -44.6  -178.6
   0.500 | 1  |         Comm Error         |            -           
   0.500 | 2  |    0.382   -0.943   -0.080 |   -94.7   -19.6   -35.0
   0.500 | 3  |         Comm Error         |            -           
   0.500 | 4  |         Comm Error         |            -           
   0.500 | 5  |    0.980   -0.036    0.210 |    -9.2   -76.8    53.7
   0.538 | 0  |    0.713   -0.066   -0.722 |  -175.1   -44.6  -178.6
   0.538 | 1  |         Comm Error         |            -           
   0.538 | 2  |    0.405   -0.948   -0.068 |   -94.5   -21.0   -35.5
   0.538 | 3  |         Comm Error         |            -           
   0.538 | 4  |         Comm Error         |            -           
   0.538 | 5  |    0.981   -0.034    0.210 |    -9.1   -76.8    53.6
   0.576 | 0  |    0.718   -0.063   -0.723 |  -175.1   -44.6  -178.6
   0.576 | 1  |         Comm Error         |            -           
   0.576 | 2  |    0.427   -0.957   -0.074 |   -94.3   -22.8   -36.1
   0.576 | 3  |         Comm Error         |            -           
   0.576 | 4  |         Comm Error         |            -           
