timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,0,0.71,-0.057,-0.733,-175.3,-43.6,-177.7
0.0,2,0.298,-0.945,-0.085,-94.5,-16.9,-34.3
0.0,5,0.982,-0.034,0.205,-8.6,-76.7,53.4
0.038,0,0.707,-0.06,-0.732,-175.2,-43.7,-177.8
0.038,2,0.292,-0.945,-0.083,-94.5,-16.9,-34.3
0.038,5,0.982,-0.028,0.219,-8.4,-76.7,53.2
0.078,0,0.711,-0.067,-0.733,-175.1,-43.8,-177.9
0.078,2,0.294,-0.947,-0.086,-94.6,-17.0,-34.4
0.078,5,0.978,-0.034,0.206,-8.5,-76.7,53.2
0.117,0,0.709,-0.067,-0.729,-175.0,-43.9,-178.1
0.117,2,0.293,-0.946,-0.083,-94.6,-17.0,-34.4
0.117,5,0.983,-0.033,0.212,-8.5,-76.8,53.3
0.155,0,0.709,-0.066,-0.73,-175.0,-44.0,-178.1
0.155,2,0.291,-0.948,-0.08,-94.6,-17.0,-34.5
0.155,5,0.983,-0.031,0.214,-8.5,-76.8,53.2
0.194,0,0.713,-0.062,-0.732,-175.0,-44.0,-178.1
0.194,2,0.287,-0.948,-0.075,-94.5,-17.0,-34.5
0.194,5,0.98,-0.036,0.206,-8.6,-76.8,53.3
0.232,0,0.713,-0.061,-0.731,-175.1,-44.1,-178.1
0.232,2,0.293,-0.946,-0.077,-94.5,-17.0,-34.5
0.232,5,0.981,-0.035,0.211,-8.7,-76.8,53.4
0.27,0,0.716,-0.062,-0.729,-175.1,-44.1,-178.2
0.27,2,0.293,-0.948,-0.082,-94.4,-17.0,-34.6
0.27,5,0.983,-0.032,0.212,-8.7,-76.7,53.3
0.309,0,0.712,-0.065,-0.728,-175.1,-44.2,-178.3
0.309,2,0.296,-0.944,-0.083,-94.5,-17.1,-34.6
0.309,5,0.981,-0.032,0.211,-8.6,-76.7,53.3
0.347,0,0.717,-0.068,-0.725,-175.0,-44.3,-178.4
0.347,2,0.301,-0.944,-0.085,-94.5,-17.1,-34.6
0.347,5,0.98,-0.035,0.207,-8.7,-76.7,53.3
0.386,0,0.719,-0.066,-0.722,-175.0,-44.4,-178.5
0.386,2,0.315,-0.942,-0.088,-94.6,-17.4,-34.7
0.386,5,0.98,-0.035,0.208,-8.9,-76.8,53.4
0.424,0,0.715,-0.064,-0.72,-175.0,-44.5,-178.5
0.424,2,0.337,-0.939,-0.084,-94.6,-17.8,-34.7
0.424,5,0.981,-0.034,0.211,-8.9,-76.7,53.4
0.462,0,0.716,-0.065,-0.72,-175.0,-44.5,-178.5
0.462,2,0.353,-0.948,-0.083,-94.7,-18.6,-34.9
0.462,5,0.981,-0.037,0.206,-9.0,-76.8,53.6
0.5,0,0.719,-0.065,-0.719,-175.1,-44.6,-178.6
0.5,2,0.382,-0.943,-0.08,-94.7,-19.6,-35.0
0.5,5,0.98,-0.036,0.21,-9.2,-76.8,53.7
0.538,0,0.713,-0.066,-0.722,-175.1,-44.6,-178.6
0.538,2,0.405,-0.948,-0.068,-94.5,-21.0,-35.5
0.538,5,0.981,-0.034,0.21,-9.1,-76.8,53.6
0.576,0,0.718,-0.063,-0.723,-175.1,-44.6,-178.6
0.576,2,0.427,-0.957,-0.074,-94.3,-22.8,-36.1
0.576,5,0.982,-0.039,0.21,-9.2,-76.7,53.8
0.615,0,0.724,-0.056,-0.723,-175.2,-44.6,-178.5
0.615,2,0.488,-0.953,-0.072,-94.1,-24.6,-36.6
0.615,5,0.982,-0.039,0.2,-9.3,-76.8,53.9
0.653,0,0.715,-0.059,-0.725,-175.3,-44.5,-178.4
0.653,2,0.522,-0.945,-0.058,-93.7,-27.5,-37.5
0.653,5,0.981,-0.032,0.224,-9.0,-76.7,53.7
0.692,0,0.709,-0.066,-0.729,-175.3,-44.4,-178.4
0.692,2,0.554,-0.911,-0.049,-92.9,-30.6,-38.6
0.692,5,0.983,-0.03,0.209,-8.8,-76.7,53.5
0.73,0,0.71,-0.065,-0.731,-175.3,-44.3,-178.3
0.73,2,0.595,-0.898,-0.045,-92.1,-33.7,-40.1
0.73,5,0.984,-0.026,0.215,-8.4,-76.7,53.2
0.768,0,0.717,-0.059,-0.734,-175.4,-44.2,-178.2
0.768,2,0.59,-0.876,-0.026,-90.9,-36.5,-42.1
0.768,5,0.982,-0.028,0.222,-8.1,-76.6,52.9
0.806,0,0.714,-0.044,-0.734,-175.6,-44.2,-178.0
0.806,2,0.586,-0.863,-0.005,-89.1,-38.8,-44.8
0.806,5,0.98,-0.026,0.218,-7.8,-76.5,52.6
0.844,0,0.712,-0.037,-0.73,-175.9,-44.1,-177.7
0.844,2,0.617,-0.817,-0.012,-87.6,-40.4,-46.9
0.844,5,0.982,-0.028,0.221,-7.7,-76.4,52.5
0.882,0,0.713,-0.039,-0.732,-176.2,-44.1,-177.5
0.882,2,0.644,-0.798,0.0,-86.1,-42.3,-49.5
0.882,5,0.98,-0.025,0.22,-7.5,-76.3,52.3
0.92,0,0.719,-0.039,-0.731,-176.4,-44.2,-177.5
0.92,2,0.589,-0.77,0.047,-83.6,-43.6,-53.0
0.92,5,0.978,-0.028,0.222,-7.4,-76.3,52.1
0.958,0,0.719,-0.036,-0.724,-176.5,-44.2,-177.5
0.958,2,0.642,-0.734,0.059,-81.7,-45.3,-55.3
0.958,5,0.979,-0.029,0.221,-7.5,-76.2,52.0
0.997,0,0.718,-0.041,-0.721,-176.6,-44.3,-177.6
0.997,2,0.725,-0.708,0.058,-80.6,-47.6,-57.1
0.997,5,0.98,-0.031,0.219,-7.7,-76.2,52.1
1.035,0,0.714,-0.048,-0.718,-176.6,-44.3,-177.8
1.035,2,0.712,-0.665,0.093,-79.2,-49.0,-59.0
1.035,5,0.979,-0.031,0.22,-7.8,-76.2,52.2
1.072,0,0.713,-0.058,-0.716,-176.4,-44.3,-178.2
1.072,2,0.748,-0.634,0.118,-77.3,-50.8,-61.4
1.072,5,0.978,-0.033,0.218,-7.9,-76.2,52.2
1.111,0,0.712,-0.058,-0.717,-176.2,-44.4,-178.5
1.111,2,0.751,-0.598,0.149,-75.2,-52.6,-63.9
1.111,5,0.979,-0.032,0.218,-8.1,-76.2,52.3
1.149,0,0.714,-0.056,-0.718,-176.1,-44.4,-178.7
1.149,2,0.784,-0.565,0.171,-72.7,-54.1,-66.4
1.149,5,0.98,-0.034,0.216,-8.2,-76.3,52.3
1.187,0,0.713,-0.056,-0.722,-176.0,-44.4,-178.9
1.187,2,0.806,-0.542,0.185,-70.3,-55.7,-68.9
1.187,5,0.978,-0.037,0.221,-8.4,-76.3,52.5
1.225,0,0.72,-0.056,-0.723,-175.9,-44.4,-179.0
1.225,2,0.833,-0.507,0.206,-68.3,-57.2,-71.5
1.225,5,0.98,-0.039,0.209,-8.7,-76.3,52.7
1.263,0,0.709,-0.06,-0.724,-175.8,-44.4,-179.2
1.263,2,0.865,-0.466,0.228,-65.4,-58.4,-73.8
1.263,5,0.981,-0.03,0.225,-8.6,-76.3,52.7
1.302,0,0.705,-0.067,-0.732,-175.6,-44.2,-179.5
1.302,2,0.855,-0.435,0.237,-62.2,-59.7,-77.0
1.302,5,0.979,-0.031,0.215,-8.4,-76.4,52.5
1.34,0,0.711,-0.067,-0.733,-175.4,-44.2,-179.6
1.34,2,0.875,-0.41,0.242,-59.4,-60.9,-79.9
1.34,5,0.98,-0.033,0.22,-8.4,-76.4,52.5
1.378,0,0.714,-0.063,-0.735,-175.4,-44.1,-179.6
1.378,2,0.899,-0.389,0.248,-56.4,-62.0,-82.9
1.378,5,0.983,-0.032,0.218,-8.3,-76.4,52.4
1.419,0,0.71,-0.056,-0.737,-175.5,-44.1,-179.5
1.419,2,0.893,-0.357,0.258,-53.2,-63.0,-86.0
1.419,5,0.98,-0.035,0.218,-8.3,-76.3,52.5
1.457,0,0.712,-0.051,-0.735,-175.6,-44.0,-179.3
1.457,2,0.894,-0.336,0.265,-49.8,-63.8,-89.2
1.457,5,0.98,-0.033,0.223,-8.3,-76.3,52.5
1.495,0,0.712,-0.046,-0.734,-175.8,-44.0,-179.1
1.495,2,0.902,-0.319,0.274,-46.6,-64.6,-92.3
1.495,5,0.982,-0.027,0.219,-8.0,-76.3,52.3
1.534,0,0.711,-0.046,-0.731,-176.0,-44.0,-178.9
1.534,2,0.903,-0.291,0.283,-44.2,-65.1,-94.6
1.534,5,0.98,-0.032,0.214,-7.9,-76.3,52.3
1.571,0,0.708,-0.048,-0.728,-176.1,-44.0,-178.8
1.571,2,0.912,-0.254,0.288,-40.9,-65.8,-97.9
1.571,5,0.98,-0.029,0.216,-7.8,-76.4,52.3
1.612,0,0.709,-0.043,-0.728,-176.2,-44.0,-178.7
1.612,2,0.912,-0.245,0.303,-37.5,-66.2,-101.2
1.612,5,0.98,-0.029,0.215,-7.7,-76.4,52.2
1.65,0,0.71,-0.041,-0.726,-176.3,-44.1,-178.6
1.65,2,0.911,-0.228,0.32,-34.2,-66.4,-104.6
1.65,5,0.98,-0.027,0.214,-7.6,-76.4,52.1
1.688,0,0.709,-0.043,-0.723,-176.4,-44.1,-178.6
1.688,2,0.92,-0.202,0.328,-30.9,-66.5,-107.7
1.688,5,0.982,-0.026,0.217,-7.3,-76.4,51.9
1.729,0,0.709,-0.048,-0.726,-176.3,-44.1,-178.6
1.729,2,0.935,-0.175,0.343,-27.4,-66.8,-111.2
1.729,5,0.982,-0.029,0.216,-7.3,-76.4,51.9
1.766,0,0.71,-0.053,-0.73,-176.3,-44.2,-178.7
1.766,2,0.923,-0.159,0.349,-23.8,-67.0,-114.7
1.766,5,0.98,-0.026,0.214,-7.3,-76.5,51.9
1.804,0,0.717,-0.05,-0.73,-176.2,-44.2,-178.7
1.804,2,0.916,-0.157,0.343,-19.5,-66.8,-118.1
1.804,5,0.98,-0.03,0.216,-7.3,-76.5,51.9
1.843,0,0.712,-0.043,-0.728,-176.2,-44.3,-178.7
1.843,2,0.927,-0.091,0.391,-16.0,-66.4,-121.3
1.843,5,0.984,-0.027,0.205,-7.3,-76.6,52.0
1.881,0,0.711,-0.042,-0.728,-176.3,-44.2,-178.6
