timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,1,0.332,-0.932,0.104,-83.5,-19.2,-86.4
0.0,2,0.256,0.977,0.096,83.7,-14.3,-43.1
0.0,3,0.986,-0.03,0.266,-5.3,-73.9,93.4
0.0,4,1.01,-0.008,0.011,-36.6,-85.2,110.6
0.0,5,1.015,-0.079,-0.153,-150.5,-79.3,-141.1
0.034,1,0.33,-0.934,0.108,-83.4,-19.2,-86.4
0.034,2,0.254,0.973,0.095,83.8,-14.4,-43.2
0.034,3,0.988,-0.025,0.27,-5.5,-73.9,93.5
0.034,4,1.008,-0.006,0.009,-36.2,-85.2,110.1
0.034,5,1.017,-0.085,-0.153,-150.4,-79.3,-141.3
0.069,1,0.328,-0.938,0.111,-83.3,-19.2,-86.5
0.069,2,0.253,0.975,0.101,83.8,-14.5,-43.2
0.069,3,0.987,-0.022,0.27,-5.5,-73.9,93.6
0.069,4,1.01,-0.012,0.009,-36.8,-85.2,111.0
0.069,5,1.016,-0.082,-0.147,-150.3,-79.3,-141.5
0.104,1,0.324,-0.938,0.11,-83.2,-19.2,-86.5
0.104,2,0.25,0.971,0.107,83.7,-14.5,-43.2
0.104,3,0.985,-0.026,0.268,-5.7,-73.8,93.7
0.104,4,1.007,-0.009,0.01,-37.4,-85.2,111.8
0.104,5,1.016,-0.077,-0.151,-150.4,-79.4,-141.4
0.139,1,0.323,-0.937,0.111,-83.1,-19.1,-86.5
0.139,2,0.252,0.968,0.104,83.7,-14.5,-43.2
0.139,3,0.984,-0.026,0.27,-5.8,-73.8,93.9
0.139,4,1.01,-0.007,0.01,-36.7,-85.2,110.9
0.139,5,1.016,-0.085,-0.153,-150.4,-79.4,-141.6
0.173,1,0.322,-0.939,0.107,-83.0,-19.1,-86.5
0.173,2,0.256,0.97,0.102,83.7,-14.6,-43.3
0.173,3,0.987,-0.024,0.272,-5.8,-73.8,93.8
0.173,4,1.01,-0.011,0.011,-37.3,-85.2,111.8
0.173,5,1.017,-0.085,-0.15,-150.3,-79.4,-141.9
0.208,1,0.322,-0.939,0.105,-83.0,-19.0,-86.5
0.208,2,0.26,0.971,0.1,83.7,-14.6,-43.3
0.208,3,0.986,-0.027,0.272,-5.8,-73.8,93.9
0.208,4,1.01,-0.005,0.011,-36.8,-85.2,111.2
0.208,5,1.019,-0.084,-0.155,-150.4,-79.4,-141.9
0.242,1,0.327,-0.939,0.101,-83.0,-19.0,-86.5
0.242,2,0.26,0.971,0.102,83.7,-14.6,-43.3
0.242,3,0.986,-0.029,0.273,-6.0,-73.7,94.0
0.242,4,1.009,-0.01,0.012,-36.2,-85.2,110.3
0.242,5,1.017,-0.087,-0.157,-150.3,-79.3,-142.1
0.276,1,0.329,-0.936,0.099,-83.0,-18.9,-86.5
0.276,2,0.26,0.97,0.103,83.7,-14.7,-43.2
0.276,3,0.987,-0.029,0.274,-6.1,-73.7,94.1
0.276,4,1.008,-0.007,0.011,-36.0,-85.2,110.2
0.276,5,1.017,-0.086,-0.153,-150.3,-79.3,-142.2
0.31,1,0.332,-0.935,0.1,-83.1,-19.0,-86.6
0.31,2,0.262,0.97,0.1,83.7,-14.7,-43.3
0.31,3,0.985,-0.032,0.274,-6.3,-73.7,94.2
0.31,4,1.012,-0.017,0.016,-35.6,-85.2,109.7
0.31,5,1.015,-0.083,-0.154,-150.4,-79.3,-142.1
0.344,1,0.332,-0.937,0.102,-83.1,-19.0,-86.6
0.344,2,0.261,0.97,0.098,83.7,-14.8,-43.4
0.344,3,0.988,-0.032,0.274,-6.4,-73.7,94.3
0.344,4,1.011,-0.003,0.011,-34.9,-85.2,108.9
0.344,5,1.018,-0.081,-0.154,-150.5,-79.3,-141.9
0.378,1,0.333,-0.939,0.107,-83.1,-19.0,-86.7
0.378,2,0.261,0.972,0.097,83.8,-14.8,-43.5
0.378,3,0.987,-0.032,0.274,-6.5,-73.6,94.3
0.378,4,1.009,-0.009,0.012,-32.8,-85.2,106.2
0.378,5,1.02,-0.083,-0.162,-150.9,-79.2,-141.6
0.413,1,0.334,-0.939,0.112,-83.1,-19.0,-86.8
0.413,2,0.257,0.969,0.099,83.8,-14.8,-43.5
0.413,3,0.987,-0.029,0.273,-6.4,-73.6,94.3
0.413,4,1.012,-0.013,0.012,-32.8,-85.2,106.2
0.413,5,1.015,-0.083,-0.151,-150.8,-79.2,-141.6
0.447,1,0.335,-0.94,0.116,-83.0,-19.1,-86.9
0.447,2,0.254,0.967,0.101,83.8,-14.8,-43.6
0.447,3,0.985,-0.027,0.273,-6.4,-73.6,94.1
0.447,4,1.011,-0.001,0.006,-31.0,-85.2,103.7
0.447,5,1.018,-0.082,-0.154,-150.9,-79.2,-141.5
0.481,1,0.331,-0.939,0.116,-83.0,-19.1,-87.0
0.481,2,0.253,0.969,0.102,83.8,-14.8,-43.6
0.481,3,0.986,-0.029,0.266,-6.3,-73.7,94.1
0.481,4,1.011,-0.02,0.014,-32.4,-85.2,105.5
0.481,5,1.018,-0.079,-0.156,-151.0,-79.2,-141.3
0.515,1,0.331,-0.94,0.115,-82.9,-19.1,-87.0
0.515,2,0.254,0.972,0.103,83.8,-14.7,-43.7
0.515,3,0.987,-0.026,0.274,-6.2,-73.7,93.9
0.515,4,1.011,-0.003,0.01,-30.4,-85.2,102.9
0.515,5,1.016,-0.076,-0.16,-151.5,-79.2,-140.9
0.55,1,0.33,-0.94,0.109,-82.9,-19.1,-87.0
0.55,2,0.252,0.974,0.099,83.8,-14.7,-43.7
0.55,3,0.985,-0.03,0.271,-6.1,-73.7,93.8
0.55,4,1.009,-0.001,0.013,-27.2,-85.2,97.9
0.55,5,1.014,-0.079,-0.152,-151.5,-79.2,-140.9
0.584,1,0.328,-0.937,0.106,-82.9,-19.1,-87.0
0.584,2,0.25,0.969,0.093,83.8,-14.6,-43.8
0.584,3,0.988,-0.026,0.271,-6.0,-73.7,93.6
0.584,4,1.011,-0.008,0.012,-26.0,-85.2,97.4
0.584,5,1.016,-0.076,-0.151,-151.6,-79.3,-140.7
0.618,1,0.327,-0.943,0.104,-83.0,-19.1,-86.9
0.618,2,0.251,0.971,0.095,83.9,-14.5,-43.9
0.618,3,0.989,-0.024,0.263,-5.7,-73.8,93.3
0.618,4,1.009,-0.004,0.011,-25.2,-85.2,96.2
0.618,5,1.018,-0.077,-0.156,-151.7,-79.3,-140.7
0.652,1,0.326,-0.941,0.099,-83.1,-19.1,-86.9
0.652,2,0.251,0.973,0.1,83.9,-14.5,-43.9
0.652,3,0.984,-0.023,0.27,-5.4,-73.8,93.0
0.652,4,1.006,0.009,0.007,-19.4,-85.2,88.1
0.652,5,1.017,-0.08,-0.16,-151.8,-79.3,-140.6
0.686,1,0.327,-0.934,0.093,-83.2,-19.0,-86.8
0.686,2,0.249,0.969,0.103,83.8,-14.4,-43.9
0.686,3,0.984,-0.025,0.27,-5.3,-73.8,92.8
0.686,4,1.006,-0.006,0.009,-19.8,-85.2,88.4
0.686,5,1.014,-0.078,-0.148,-151.8,-79.4,-140.6
0.721,1,0.334,-0.931,0.091,-83.4,-19.1,-86.7
0.721,2,0.246,0.971,0.107,83.7,-14.3,-43.8
0.721,3,0.987,-0.024,0.275,-5.1,-73.7,92.6
0.721,4,1.012,-0.003,0.007,-18.9,-85.2,86.7
0.721,5,1.017,-0.079,-0.151,-151.6,-79.4,-140.7
0.755,1,0.335,-0.934,0.092,-83.5,-19.1,-86.7
0.755,2,0.252,0.978,0.104,83.6,-14.3,-43.8
0.755,3,0.991,-0.022,0.271,-4.9,-73.7,92.4
0.755,4,1.01,-0.003,0.012,-17.9,-85.2,85.4
