
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
----------------------------------------------------------------------------------------
    0.000 | 1  |    0.316   -0.938    0.121 |    -82.4    -18.2    130.1
    0.000 | 2  |    0.276    0.972    0.098 |     83.6    -15.9      3.0
    0.000 | 3  |    0.986   -0.032    0.259 |     -5.8    -74.0   -167.0
    0.000 | 4  |    1.010   -0.014    0.005 |    -58.4    -85.2   -150.7
    0.000 | 5  |    1.017   -0.087   -0.152 |   -149.7    -79.3    -21.5
    0.034 | 1  |    0.313   -0.936    0.122 |    -82.4    -18.2    130.0
    0.034 | 2  |    0.275    0.971    0.097 |     83.6    -15.9      3.0
    0.034 | 3  |    0.986   -0.024    0.271 |     -5.9    -74.0   -166.9
    0.034 | 4  |    1.009   -0.010    0.006 |    -57.1    -85.2   -152.2
    0.034 | 5  |    1.016   -0.083   -0.162 |   -150.1    -79.2    -21.2
    0.069 | 1  |    0.315   -0.936    0.121 |    -82.4    -18.2    130.0
    0.069 | 2  |    0.276    0.965    0.098 |     83.7    -15.9      3.0
    0.069 | 3  |    0.989   -0.026    0.269 |     -5.9    -74.0   -166.9
    0.069 | 4  |    1.008   -0.017    0.007 |    -56.5    -85.2   -154.1
    0.069 | 5  |    1.016   -0.083   -0.146 |   -150.1    -79.3    -21.2
    0.103 | 1  |    0.316   -0.943    0.121 |    -82.3    -18.2    130.1
    0.103 | 2  |    0.272    0.966    0.103 |     83.7    -15.9      3.0
    0.103 | 3  |    0.988   -0.026    0.264 |     -6.0    -74.0   -166.8
    0.103 | 4  |    1.009   -0.006    0.001 |    -56.7    -85.2   -153.1
    0.103 | 5  |    1.018   -0.088   -0.152 |   -149.7    -79.3    -21.5
    0.137 | 1  |    0.313   -0.943    0.116 |    -82.3    -18.1    130.2
    0.137 | 2  |    0.272    0.966    0.110 |     83.6    -15.8      3.1
    0.137 | 3  |    0.986   -0.024    0.266 |     -6.0    -74.1   -166.8
    0.137 | 4  |    1.008   -0.020    0.009 |    -56.1    -85.2   -155.0
    0.137 | 5  |    1.017   -0.085   -0.157 |   -149.7    -79.3    -21.5
    0.172 | 1  |    0.311   -0.939    0.114 |    -82.4    -18.1    130.3
    0.172 | 2  |    0.282    0.969    0.104 |     83.6    -15.9      3.1
    0.172 | 3  |    0.986   -0.028    0.268 |     -6.1    -74.1   -166.7
    0.172 | 4  |    1.007   -0.010    0.008 |    -54.3    -85.2   -157.5
    0.172 | 5  |    1.015   -0.087   -0.147 |   -149.7    -79.3    -21.5
    0.206 | 1  |    0.313   -0.938    0.112 |    -82.4    -18.1    130.4
    0.206 | 2  |    0.279    0.964    0.098 |     83.7    -15.9      3.1
    0.206 | 3  |    0.990   -0.026    0.267 |     -6.1    -74.1   -166.6
    0.206 | 4  |    1.008   -0.007    0.007 |    -52.9    -85.2   -159.2
    0.206 | 5  |    1.014   -0.086   -0.138 |   -149.3    -79.3    -21.9
    0.241 | 1  |    0.310   -0.947    0.114 |    -82.5    -18.0    130.4
    0.241 | 2  |    0.281    0.965    0.095 |     83.8    -15.9      3.1
    0.241 | 3  |    0.990   -0.028    0.263 |     -6.2    -74.1   -166.5
    0.241 | 4  |    1.010   -0.013    0.004 |    -53.2    -85.2   -159.1
    0.241 | 5  |    1.018   -0.085   -0.144 |   -149.2    -79.4    -22.0
    0.275 | 1  |    0.307   -0.945    0.111 |    -82.6    -17.9    130.5
    0.275 | 2  |    0.280    0.965    0.094 |     83.8    -15.9      3.1
    0.275 | 3  |    0.989   -0.028    0.265 |     -6.3    -74.2   -166.4
    0.275 | 4  |    1.012   -0.014    0.002 |    -54.0    -85.2   -157.3
    0.275 | 5  |    1.017   -0.084   -0.167 |   -149.6    -79.3    -21.6
    0.309 | 1  |    0.305   -0.939    0.114 |    -82.6    -17.9    130.6
    0.309 | 2  |    0.281    0.966    0.100 |     83.8    -16.0      3.1
    0.309 | 3  |    0.992   -0.026    0.266 |     -6.4    -74.2   -166.3
    0.309 | 4  |    1.008   -0.005   -0.001 |    -56.2    -85.2   -155.0
    0.309 | 5  |    1.018   -0.085   -0.155 |   -149.9    -79.3    -21.4
    0.343 | 1  |    0.315   -0.938    0.117 |    -82.6    -17.9    130.7
    0.343 | 2  |    0.280    0.963    0.107 |     83.8    -16.0      3.2
    0.343 | 3  |    0.994   -0.030    0.270 |     -6.5    -74.2   -166.2
    0.343 | 4  |    1.010   -0.021    0.005 |    -56.6    -85.2   -154.5
    0.343 | 5  |    1.017   -0.083   -0.151 |   -149.7    -79.3    -21.5
    0.378 | 1  |    0.315   -0.943    0.119 |    -82.6    -17.9    130.6
    0.378 | 2  |    0.278    0.965    0.108 |     83.7    -16.0      3.3
    0.378 | 3  |    0.991   -0.030    0.266 |     -6.6    -74.2   -166.0
    0.378 | 4  |    1.012   -0.021    0.010 |    -56.9    -85.2   -155.3
