timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,0,-0.025,1.001,0.222,76.58363284633116,1.514318420164045,-144.67812103434642
0.0,1,-0.949,0.274,0.123,64.80221356125469,72.59898283475172,-156.44712417835132
0.0,2,0.98,0.228,0.078,68.41017360509971,-76.10786908082974,-49.72190606876652
0.0,3,-0.025,1.001,0.222,76.58363284633116,1.514318420164045,-144.67812103434642
0.0,4,-0.004,1.01,-0.002,85.96471001509143,2.411649939748452,-70.88497281494877
0.0,5,-0.064,1.021,-0.135,98.27937753777238,4.250633735796753,-135.5922106557853
0.035,0,-0.029,1.003,0.223,76.68563234816295,1.5263363285742604,-144.57815745782443
0.035,1,-0.952,0.275,0.123,64.80221356125469,72.59898283475172,-156.44712417835132
0.035,2,0.983,0.226,0.077,68.41017360509971,-76.10786908082974,-49.72190606876652
0.035,3,-0.029,1.003,0.223,76.68563234816295,1.5263363285742604,-144.57815745782443
0.035,4,-0.001,1.009,0.0,85.8558000270261,2.2190533149078884,-64.08029702018676
0.035,5,-0.065,1.023,-0.134,98.27937753777238,4.250633735796753,-135.5922106557853
0.069,0,-0.029,0.999,0.217,76.6882449004706,1.5493634922124293,-144.580809754769
0.069,1,-0.952,0.276,0.125,64.66257877888323,72.4666705150542,-156.60746442868856
0.069,2,0.988,0.223,0.082,68.6310988732966,-76.23716526187211,-49.95866897258863
0.069,3,-0.029,0.999,0.217,76.6882449004706,1.5493634922124293,-144.580809754769
0.069,4,-0.003,1.009,0.001,85.85967111867687,2.226276635776961,-72.98048314842745
0.069,5,-0.061,1.02,-0.128,98.28671989475362,4.236227388403162,-135.59298179204592
0.103,0,-0.025,1.001,0.217,76.6882449004706,1.5493634922124293,-144.580809754769
0.103,1,-0.952,0.274,0.127,64.66257877888323,72.46667051505422,-156.50746442868856
0.103,2,0.983,0.221,0.083,68.6310988732966,-76.23716526187211,-49.95866897258863
0.103,3,-0.025,1.001,0.217,76.6882449004706,1.5493634922124293,-144.580809754769
0.103,4,-0.003,1.01,-0.001,85.9356037648884,2.362212348122298,-75.28383125419036
0.103,5,-0.065,1.022,-0.13,98.27937753777238,4.250633735796753,-135.69221065578532
0.138,0,-0.023,0.998,0.22,76.68563234816295,1.5263363285742604,-144.57815745782443
0.138,1,-0.95,0.273,0.125,64.66257877888323,72.4666705150542,-156.60746442868856
0.138,2,0.98,0.224,0.088,68.2519155873066,-76.20041996354487,-49.56824648841122
0.138,3,-0.023,0.998,0.22,76.68563234816295,1.5263363285742604,-144.57815745782443
0.138,4,0.0,1.009,-0.001,86.02035954480527,2.5025062121823334,-80.08695808925525
0.138,5,-0.063,1.022,-0.134,98.28671989475362,4.236227388403162,-135.6929817920459
0.172,0,-0.024,0.999,0.219,76.68305896487053,1.5033047609950354,-144.57550307571415
0.172,1,-0.95,0.275,0.123,64.66257877888323,72.4666705150542,-156.60746442868856
0.172,2,0.981,0.225,0.086,68.2519155873066,-76.20041996354487,-49.668246488411214
0.172,3,-0.024,0.999,0.219,76.68305896487053,1.5033047609950354,-144.57550307571415
0.172,4,-0.003,1.011,-0.003,86.07354839917136,2.585235965175789,-77.98863217854797
0.172,5,-0.062,1.023,-0.131,98.29403708635377,4.221808381704577,-135.59375662599862
0.206,0,-0.022,1.002,0.22,76.68052475594602,1.480268856050735,-144.57284663957066
0.206,1,-0.954,0.273,0.121,64.66257877888323,72.46667051505422,-156.70746442868855
0.206,2,0.983,0.228,0.083,68.2519155873066,-76.20041996354487,-49.668246488411214
0.206,3,-0.022,1.002,0.22,76.68052475594602,1.480268856050735,-144.57284663957066
0.206,4,0.0,1.01,-0.003,86.05117555340834,2.5509004165654687,-54.28795333633527
0.206,5,-0.062,1.022,-0.123,98.19729548717022,4.1909897186617915,-135.69955225860545
0.241,0,-0.024,1.001,0.218,76.6755738821982,1.4341843004053414,-144.6675277298189
0.241,1,-0.954,0.273,0.118,64.66257877888323,72.46667051505422,-156.70746442868855
0.241,2,0.985,0.223,0.085,67.87478363558898,-76.16306163154542,-49.27987445893963
0.241,3,-0.024,1.001,0.218,76.6755738821982,1.4341843004053414,-144.6675277298189
0.241,4,0.0,1.008,-0.001,85.87528143301704,2.255102202963536,-27.28121785947427
0.241,5,-0.06,1.022,-0.135,98.19729548717022,4.1909897186617915,-135.69955225860545
0.276,0,-0.021,0.999,0.215,76.6731572276671,1.4111357828903923,-144.7648653185797
0.276,1,-0.952,0.273,0.118,64.66257877888323,72.46667051505422,-156.80746442868855
0.276,2,0.98,0.226,0.083,67.87478363558898,-76.16306163154542,-49.27987445893963
0.276,3,-0.021,0.999,0.215,76.6731572276671,1.4111357828903923,-144.7648653185797
0.276,4,0.001,1.008,-0.003,85.7047441806957,1.9098726802907222,1.9283717333081085
0.276,5,-0.063,1.022,-0.136,98.21175139541822,4.162448275034293,-135.70107213395474
0.31,0,-0.02,1.003,0.222,76.66844150840203,1.3650266014909833,-144.75953473944887
0.31,1,-0.954,0.274,0.117,65.09504495850068,72.41938823585846,-156.3678313997832
0.31,2,0.98,0.225,0.086,67.87478363558898,-76.16306163154542,-49.37987445893963
0.31,3,-0.02,1.003,0.222,76.66844150840203,1.3650266014909833,-144.75953473944887
0.31,4,0.001,1.01,0.0,85.5907329506258,1.6289889151178996,7.537284408261765
0.31,5,-0.061,1.023,-0.134,98.21894195734666,4.14815886743477,-135.80183747746204
0.344,0,-0.022,1.002,0.221,76.66614245346516,1.3419660708319185,-144.756866634046
0.344,1,-0.953,0.276,0.116,65.09504495850068,72.41938823585848,-156.4678313997832
0.344,2,0.983,0.227,0.088,67.87478363558898,-76.16306163154542,-49.37987445893963
0.344,3,-0.022,1.002,0.221,76.66614245346516,1.3419660708319185,-144.756866634046
0.344,4,0.0,1.011,-0.001,85.5166220844905,1.4118756385420657,7.844729577229783
0.344,5,-0.066,1.022,-0.129,98.21175139541822,4.162448275034293,-135.70107213395474
0.379,0,-0.022,1.003,0.22,76.66388260805276,1.3189016690273998,-144.85419669310954
0.379,1,-0.953,0.275,0.117,65.38200255889906,72.46127253880944,-156.066849086808
0.379,2,0.982,0.228,0.089,67.49971998301999,-76.12509521919755,-49.09356983204161
0.379,3,-0.022,1.003,0.22,76.66388260805276,1.3189016690273998,-144.85419669310954
0.379,4,0.002,1.009,-0.001,85.39394376402196,0.9360204016351704,1.9623551520894111
0.379,5,-0.053,1.024,-0.127,98.22610756521011,4.133857060386772,-135.8026064123196
0.413,0,-0.021,1.0,0.219,76.66166197685735,1.2958334627057455,-144.85152494793167
0.413,1,-0.952,0.275,0.119,65.38200255889906,72.46127253880944,-156.066849086808
0.413,2,0.98,0.231,0.089,67.66231425345927,-76.03306342155167,-49.251388554619325
0.413,3,-0.021,1.0,0.219,76.66166197685735,1.2958334627057455,-144.85152494793167
0.413,4,0.002,1.007,-0.002,85.31852412560403,0.417338477046413,1.0829406604213623
0.413,5,-0.06,1.019,-0.125,98.1434526335109,4.075069073104083,-135.90979487301453
0.448,0,-0.022,0.998,0.219,76.66166197685735,1.2958334627057455,-144.85152494793167
0.448,1,-0.951,0.276,0.12,65.38200255889906,72.46127253880944,-155.966849086808
0.448,2,0.982,0.231,0.091,67.29144407537288,-75.99475759076991,-48.86918792295109
0.448,3,-0.022,0.998,0.219,76.66166197685735,1.2958334627057455,-144.85152494793167
0.448,4,0.003,1.009,-0.002,85.30011402258735,0.0327751390012262,-1.001345001789476
0.448,5,-0.059,1.022,-0.12,98.12929818301201,4.103375049576675,-136.0082869906484
0.482,0,-0.021,1.003,0.215,76.66166197685735,1.2958334627057455,-144.85152494793167
0.482,1,-0.953,0.271,0.122,65.09504495850068,72.41938823585846,-156.16783139978318
0.482,2,0.987,0.224,0.088,67.29144407537288,-75.99475759076991,-48.86918792295109
0.482,3,-0.021,1.003,0.215,76.66166197685735,1.2958334627057455,-144.85152494793167
0.482,4,0.002,1.014,-0.006,85.32825749563685,-0.5151799836719148,0.12101497491629404
0.482,5,-0.061,1.024,-0.131,98.12929818301201,4.103375049576675,-135.9082869906484
0.516,0,-0.016,1.003,0.223,76.65733837547604,1.249685903054464,-144.8461761701123
0.516,1,-0.956,0.274,0.122,65.09504495850068,72.41938823585846,-155.9678313997832
0.516,2,0.984,0.229,0.077,67.66231425345927,-76.03306342155167,-49.251388554619325
0.516,3,-0.016,1.003,0.223,76.65733837547604,1.249685903054464,-144.8461761701123
0.516,4,0.002,1.011,-0.008,85.75257307998217,-2.014149762021899,-9.825302053210137
0.516,5,-0.06,1.022,-0.139,98.16449884618625,4.032518829511375,-135.91208289324257
0.55,0,-0.015,0.998,0.22,76.65114719261258,1.180437695749268,-144.8381402549227
0.55,1,-0.956,0.271,0.116,65.38200255889906,72.46127253880944,-155.566849086808
0.55,2,0.98,0.232,0.072,68.19360343454188,-75.97837251096902,-49.78931935658808
0.55,3,-0.015,0.998,0.22,76.65114719261258,1.180437695749268,-144.8381402549227
0.55,4,0.001,1.005,-0.005,85.8140532834196,-2.1391576094627105,-10.521814274780343
0.55,5,-0.059,1.018,-0.119,98.16449884618625,4.032518829511375,-136.0120828932426
0.585,0,-0.018,0.994,0.215,76.64916194065414,1.1573480618509047,-144.83545834244472
0.585,1,-0.948,0.275,0.113,65.38200255889906,72.46127253880944,-155.466849086808
0.585,2,0.977,0.228,0.071,68.7205634380919,-75.92246762248183,-50.42309630305267
0.585,3,-0.018,0.994,0.215,76.64916194065414,1.1573480618509047,-144.83545834244472
0.585,4,0.006,1.007,-0.005,86.50919614173378,-3.149057630408257,-27.104016398699077
0.585,5,-0.059,1.021,-0.113,98.04667794719407,4.044589298139685,-136.1154015227789
0.619,0,-0.013,1.0,0.218,76.64721593345709,1.1342550899970745,-144.8327748452704
0.619,1,-0.952,0.271,0.114,65.67034970281804,72.50270042615585,-154.9644788031597
0.619,2,0.976,0.225,0.078,69.0931189883197,-75.95845636156739,-50.907156738766446
0.619,3,-0.013,1.0,0.218,76.64721593345709,1.1342550899970745,-144.8327748452704
0.619,4,0.005,1.012,0.001,86.87562927981062,-3.5129111809728455,-38.60416575775047
0.619,5,-0.058,1.023,-0.131,98.06757173058791,4.002541099687794,-136.0176289549126
0.653,0,-0.017,1.002,0.223,76.6434416694045,1.088059399123077,-144.7274032225729
0.653,1,-0.957,0.27,0.112,65.52715568145004,72.59300946881243,-155.0010813340033
0.653,2,0.977,0.235,0.09,68.7205634380919,-75.92246762248183,-50.52309630305267
0.653,3,-0.017,1.002,0.223,76.6434416694045,1.088059399123077,-144.7274032225729
0.653,4,0.003,1.011,0.002,86.48187250084986,-3.1184942689173836,-39.904203970411
0.653,5,-0.06,1.022,-0.124,98.0744873718759,3.988501033311867,-136.01837824878046
0.687,0,-0.025,1.005,0.22,76.6434416694045,1.088059399123077,-144.7274032225729
0.687,1,-0.956,0.276,0.116,65.81816468764043,72.63420453091868,-154.5961400428497
0.687,2,0.982,0.236,0.1,68.50428882587865,-75.79327699954113,-50.49062612547418
0.687,3,-0.025,1.005,0.22,76.6434416694045,1.088059399123077,-144.7274032225729
0.687,4,0.005,1.011,-0.005,87.14128778511756,-3.732201527487934,-48.706840637260655
0.687,5,-0.05,1.022,-0.119,98.08824511199474,3.9603851554104157,-136.21988700609845
0.722,0,-0.022,1.001,0.218,76.54754205986765,1.1425641506307902,-144.73475513528004
0.722,1,-0.954,0.274,0.121,65.81816468764043,72.63420453091868,-154.2961400428497
0.722,2,0.982,0.221,0.107,67.77308907109744,-75.71880318295095,-49.83623480177196
0.722,3,-0.022,1.001,0.218,76.54754205986765,1.1425641506307902,-144.73475513528004
0.722,4,0.006,1.011,-0.003,87.79687004965749,-4.152676399277225,-56.62011611220607
0.722,5,-0.061,1.022,-0.137,98.11546590155206,3.904011612008508,-136.12294493892756
0.756,0,-0.014,1.0,0.224,76.5456221259392,1.1192986710960147,-144.6320300227762
0.756,1,-0.955,0.266,0.123,65.52715568145004,72.59300946881243,-154.4010813340033
0.756,2,0.979,0.213,0.113,66.88715253349623,-75.7335531943249,-49.032147125811605
0.756,3,-0.014,1.0,0.224,76.5456221259392,1.1192986710960147,-144.6320300227762
0.756,4,0.001,1.009,-0.007,88.36617812156119,-4.407481564621823,-59.8371238119498
0.756,5,-0.052,1.022,-0.128,98.2262973971795,3.9042217336248033,-136.11913319100114
0.79,0,-0.016,0.999,0.218,76.54190083519642,1.072758102919504,-144.42657519898358
0.79,1,-0.966,0.255,0.13,64.94427376276302,72.73119734721459,-154.78454029496234
0.79,2,0.98,0.199,0.114,65.29360944255485,-75.88480742241886,-47.419993664353875
0.79,3,-0.016,0.999,0.218,76.54190083519642,1.072758102919504,-144.42657519898358
0.79,4,0.007,1.008,-0.01,89.63861439782404,-4.686116919581953,-70.38521317394846
0.79,5,-0.054,1.024,-0.124,98.16215375600949,3.8049101349063705,-136.12842442365647
0.824,0,-0.019,0.998,0.21,76.54190083519642,1.072758102919504,-144.42657519898358
0.824,1,-0.955,0.26,0.138,64.0601465671609,72.82403963990718,-155.582475235055
0.824,2,0.98,0.196,0.103,64.21196222706881,-75.97937780414534,-46.3268153203761
0.824,3,-0.019,0.998,0.21,76.54190083519642,1.072758102919504,-144.42657519898358
0.824,4,0.005,1.008,-0.005,90.23832023918067,-4.693967467764126,-75.7097676929595
0.824,5,-0.058,1.022,-0.131,98.18179201610673,3.7622666131169025,-136.03082201352453
0.859,0,-0.013,0.998,0.22,76.5383376726665,1.026205170078359,-144.32111445630767
0.859,1,-0.954,0.252,0.143,62.58862397954724,72.8214809013948,-156.6939181875382
0.859,2,0.981,0.201,0.084,63.64941597799554,-76.24728351942305,-45.68070923232887
0.859,3,-0.013,0.998,0.22,76.5383376726665,1.026205170078359,-144.32111445630767
0.859,4,0.006,1.009,-0.005,90.3941641662287,-4.683479561647493,-76.81611895069275
0.859,5,-0.057,1.02,-0.131,98.27953355677096,3.7893855100951734,-135.9256302639806
0.893,0,-0.014,0.996,0.217,76.53168584823676,0.9330643586398648,-144.21017623696392
