timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,1,0.212,-0.961,0.149,-80.9,-12.2,32.2
0.0,2,0.196,0.989,0.097,83.8,-11.1,62.2
0.0,3,0.995,-0.013,0.238,-2.9,-75.6,4.4
0.0,4,1.009,-0.005,0.003,-37.2,-85.3,-27.2
0.0,5,1.019,-0.087,-0.127,-144.6,-80.2,-165.1
0.035,1,0.212,-0.961,0.149,-80.9,-12.2,32.2
0.035,2,0.193,0.987,0.098,83.8,-11.1,62.2
0.035,3,0.995,-0.011,0.238,-2.9,-75.6,4.4
0.035,4,1.009,-0.003,0.004,-37.5,-85.3,-27.2
0.035,5,1.02,-0.086,-0.124,-144.3,-80.3,-165.4
0.069,1,0.213,-0.964,0.148,-80.9,-12.2,32.2
0.069,2,0.194,0.989,0.103,83.8,-11.1,62.2
0.069,3,0.996,-0.012,0.24,-2.9,-75.5,4.4
0.069,4,1.008,0.002,0.003,-36.1,-85.3,-28.5
0.069,5,1.022,-0.089,-0.135,-144.3,-80.2,-165.5
0.104,1,0.214,-0.961,0.148,-80.9,-12.2,32.2
0.104,2,0.195,0.988,0.103,83.8,-11.1,62.2
0.104,3,0.995,-0.012,0.239,-3.0,-75.5,4.5
0.104,4,1.011,-0.015,0.005,-38.8,-85.3,-27.1
0.104,5,1.02,-0.085,-0.128,-144.3,-80.2,-165.5
0.138,1,0.214,-0.961,0.149,-80.9,-12.2,32.2
0.138,2,0.196,0.989,0.099,83.8,-11.1,62.2
0.138,3,0.997,-0.017,0.243,-3.2,-75.5,4.7
0.138,4,1.007,0.01,-0.0,-37.3,-85.3,-27.3
0.138,5,1.022,-0.091,-0.128,-144.1,-80.2,-165.7
0.172,1,0.211,-0.961,0.152,-80.8,-12.2,32.2
0.172,2,0.197,0.988,0.096,83.8,-11.2,62.2
0.172,3,0.993,-0.018,0.24,-3.5,-75.5,5.0
0.172,4,1.012,-0.027,0.008,-42.1,-85.3,-25.3
0.172,5,1.02,-0.085,-0.128,-144.0,-80.2,-165.7
0.206,1,0.212,-0.962,0.151,-80.8,-12.2,32.2
0.206,2,0.197,0.989,0.098,83.9,-11.2,62.2
0.206,3,0.996,-0.013,0.241,-3.6,-75.5,5.1
0.206,4,1.013,-0.007,0.003,-44.2,-85.2,-24.1
0.206,5,1.021,-0.088,-0.13,-144.1,-80.2,-165.7
0.24,1,0.212,-0.963,0.153,-80.7,-12.2,32.2
0.24,2,0.195,0.988,0.1,83.9,-11.2,62.2
0.24,3,0.995,-0.015,0.241,-3.7,-75.5,5.2
0.24,4,1.009,-0.006,0.005,-44.0,-85.2,-24.4
0.24,5,1.02,-0.086,-0.125,-144.1,-80.2,-165.6
0.274,1,0.21,-0.963,0.151,-80.7,-12.1,32.3
0.274,2,0.195,0.989,0.1,83.9,-11.2,62.2
0.274,3,0.992,-0.02,0.238,-4.0,-75.5,5.5
0.274,4,1.009,-0.009,0.008,-43.7,-85.2,-25.6
0.274,5,1.017,-0.088,-0.128,-143.9,-80.2,-165.8
0.308,1,0.211,-0.962,0.149,-80.7,-12.1,32.3
0.308,2,0.198,0.984,0.096,83.9,-11.2,62.2
0.308,3,0.996,-0.017,0.244,-4.1,-75.5,5.6
0.308,4,1.013,-0.006,0.003,-44.0,-85.2,-25.2
0.308,5,1.022,-0.089,-0.13,-144.0,-80.2,-165.8
0.342,1,0.21,-0.971,0.154,-80.6,-12.1,32.3
0.342,2,0.201,0.986,0.096,84.0,-11.2,62.2
0.342,3,0.999,-0.011,0.239,-4.0,-75.5,5.5
0.342,4,1.01,-0.001,0.001,-42.8,-85.2,-25.5
0.342,5,1.022,-0.089,-0.132,-144.0,-80.2,-165.8
0.376,1,0.209,-0.972,0.153,-80.6,-12.0,32.3
0.376,2,0.2,0.984,0.102,84.0,-11.3,62.2
0.376,3,0.995,-0.007,0.243,-3.7,-75.5,5.2
